Data TLB contains 2 sets.
Each set contains 1 entries.
Number of bits used for the index is 1.

Number of virtual pages is 8.
Number of physical pages is 8.
Each page contains 512 bytes.
Number of bits used for the page table index is 3.
Number of bits used for the page offset is 9.

D-cache contains 4 sets.
Each set contains 1 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 2.
Number of bits used for the offset is 4.

L2-cache contains 16 sets.
Each set contains 4 entries.
Each line is 16 bytes.
The cache uses a write-allocate and write-back policy.
Number of bits used for the index is 4.
Number of bits used for the offset is 4.

The addresses read in are virtual addresses.

Virtual  Virt.  Page TLB    TLB TLB  PT   Phys        DC  DC          L2  L2  
Address  Page # Off  Tag    Ind Res. Res. Pg # DC Tag Ind Res. L2 Tag Ind Res.
-------- ------ ---- ------ --- ---- ---- ---- ------ --- ---- ------ --- ----
00000804      4    4      2   0 hit          4     20   0 miss      8   0 hit 
00000a37      5   37      2   1 miss hit     0      0   3 miss      0   3 hit 
00000c82      6   82      3   0 miss hit     5     2a   0 miss      a   8 miss
0000040d      2    d      1   0 miss hit     7     38   0 miss      e   0 hit 
00000970      4  170      2   0 miss hit     4     25   3 miss      9   7 miss
00000fbe      7  1be      3   1 miss hit     2     16   3 miss      5   b miss
00000a7c      5   7c      2   1 miss hit     0      1   3 miss      0   7 miss
00000a98      5   98      2   1 hit          0      2   1 miss      0   9 hit 
00000907      4  107      2   0 hit          4     24   0 miss      9   0 miss
000003c9      1  1c9      0   1 miss hit     6     37   0 miss      d   c miss
00000c58      6   58      3   0 miss hit     5     29   1 miss      a   5 miss
00000525      2  125      1   0 miss hit     7     3c   2 miss      f   2 hit 
00000271      1   71      0   1 hit          6     31   3 miss      c   7 miss
00000c68      6   68      3   0 miss hit     5     29   2 miss      a   6 miss
0000094f      4  14f      2   0 miss hit     4     25   0 miss      9   4 miss
00000d04      6  104      3   0 miss hit     5     2c   0 miss      b   0 miss
000003fa      1  1fa      0   1 hit          6     37   3 miss      d   f miss
00000bf3      5  1f3      2   1 miss hit     0      7   3 miss      1   f hit 
00000b48      5  148      2   1 hit          0      5   0 miss      1   4 miss
00000891      4   91      2   0 miss hit     4     22   1 miss      8   9 miss
00000386      1  186      0   1 miss hit     6     36   0 miss      d   8 hit 
0000094d      4  14d      2   0 hit          4     25   0 miss      9   4 hit 
00000e86      7   86      3   1 miss hit     2     12   0 miss      4   8 miss
0000026e      1   6e      0   1 miss hit     6     31   2 miss      c   6 miss
00000418      2   18      1   0 miss hit     7     38   1 miss      e   1 miss
00000d76      6  176      3   0 miss hit     5     2d   3 miss      b   7 miss
00000ba6      5  1a6      2   1 miss hit     0      6   2 miss      1   a hit 
000004f2      2   f2      1   0 miss hit     7     3b   3 miss      e   f miss
00000b6c      5  16c      2   1 hit          0      5   2 miss      1   6 hit 
0000000d      0    d      0   0 miss hit     3     18   0 miss      6   0 miss
00000df7      6  1f7      3   0 miss hit     5     2f   3 miss      b   f miss
000002e9      1   e9      0   1 miss hit     6     33   2 miss      c   e miss
00000798      3  198      1   1 miss hit     1      e   1 miss      3   9 miss
000000dd      0   dd      0   0 miss hit     3     1b   1 miss      6   d miss
000000d4      0   d4      0   0 hit          3     1b   1 hit                 
00000aab      5   ab      2   1 miss hit     0      2   2 miss      0   a miss
00000643      3   43      1   1 miss hit     1      9   0 miss      2   4 miss
0000061e      3   1e      1   1 hit          1      8   1 miss      2   1 miss
000009e7      4  1e7      2   0 miss hit     4     27   2 miss      9   e miss
00000928      4  128      2   0 hit          4     24   2 miss      9   2 miss
0000014a      0  14a      0   0 miss hit     3     1d   0 miss      7   4 hit 
00000267      1   67      0   1 miss hit     6     31   2 miss      c   6 hit 
00000143      0  143      0   0 hit          3     1d   0 hit                 
00000f05      7  105      3   1 miss hit     2     14   0 miss      5   0 miss
00000c08      6    8      3   0 miss hit     5     28   0 miss      a   0 miss
00000981      4  181      2   0 miss hit     4     26   0 miss      9   8 miss
0000060d      3    d      1   1 miss hit     1      8   0 miss      2   0 miss
00000c6f      6   6f      3   0 miss hit     5     29   2 miss      a   6 hit 
00000cf2      6   f2      3   0 hit          5     2b   3 miss      a   f miss
00000f75      7  175      3   1 miss hit     2     15   3 miss      5   7 miss
00000ff2      7  1f2      3   1 hit          2     17   3 miss      5   f miss
00000a22      5   22      2   1 miss hit     0      0   2 miss      0   2 miss
000003fc      1  1fc      0   1 miss hit     6     37   3 miss      d   f miss
00000b87      5  187      2   1 miss hit     0      6   0 miss      1   8 miss
